CONTESTO,FRASE,REF,ORIGINALE,TRADUZIONE AUTOMATICA GT,REF2,ACCORDO,,DATASET ORIGINALI
"As Professor of Painting at the Royal Academy he gave a memorable series of lectures to the students of the Schools, published as Six Lectures on Painting (1904) and Aims and Ideals in Art (1906). <sep> ",Clausen was an official war artist during World War I.,M,Clausen war ein offizieller Kriegskünstler während des 1. Weltkriegs.,Clausen war während des Ersten Weltkriegs offizieller Kriegskünstler.,M,Y,,https://github.com/amazon-science/machine-translation-gender-eval/blob/main/data/context/geneval-context-wikiprofessions-original-dev.en_de.de#L3
In 1866 he became an instructor in palaeontology at the University of Munich and at the same time taught Princess Theresa and Prince Arnulf of Bavaria. <sep> ,"Although an excellent teacher, and especially competent in practical work, Waagen, who was a most loyal Catholic, had little prospect of obtaining a professorship at the University of Munich.",M,"Obwohl er ein hervorragender Lehrer war und besonders kompetent in praktischer Arbeit, hatte Waagen, der ein sehr loyaler Katholik war, wenig Aussichten auf eine Professur an der Universität von München.","Obwohl ein ausgezeichneter Lehrer und besonders kompetent in der praktischen Arbeit, hatte Waagen, der ein treuster Katholik war, wenig Aussicht auf eine Professur an der Universität München.",M,Y,,https://github.com/amazon-science/machine-translation-gender-eval/blob/main/data/context/geneval-context-wikiprofessions-2to1-dev.en_de.en#L3
His father was a merchant. <sep> ,Rudow began working as a teacher in 1865.,M,Rudow begann 1865 als Lehrer zu arbeiten.,Rudow begann 1865 als Lehrer zu arbeiten.,M,Y,,
Various attempts have been made to clear up the error concerning the mention of Tyre as a subsequent bishopric of Methodius; it is possible that he was transported to Tyre during the persecution and died there. <sep> ,"Methodius had a comprehensive philosophical education, and was an important theologian as well as a prolific and polished author.",M,"Methodius hatte eine umfassende philosophische Ausbildung, er war ein bedeutender Theologe und ein erfolgreicher und versierter Autor zugleich.",Methodius hatte eine umfassende philosophische Ausbildung und war ein bedeutender Theologe sowie ein produktiver und geschliffener Autor.,M,Y,,
"Since a journal is written from the perspective of each day, Mountstuart's moods change as events affect him. <sep> ","The form lends itself to plotlessness, since the author/narrator inevitably cannot see the overall structure of the story.",M,"Die Form ermöglicht Handlungslosigkeit, da der Verfasser/Erzähler zwangsläufig die Gesamtstruktur der Geschichte nicht erkennen kann.","Die Form führt zu Handlungslosigkeit, da der Autor/Erzähler die Gesamtstruktur der Geschichte zwangsläufig nicht erkennen kann.",M,Y,,
"In 1916, Schulz Solari first signed his work Xul Solar,” ostensibly for the purposes to simplify the phonetics of his name, but an examination of the adopted name reveals that the first name is the reverse of lux,” which means light in Latin. <sep> ","Combined with solar, the name reads as the light of the sun, and demonstrates the artist's affinity for the universal source of light and energy.",M,Kombiniert mit Solar bedeutet der Name das Licht der Sonne und zeigt die Affinität des Künstlers zu dieser universellen Quelle von Licht und Energie.,In Kombination mit Solar liest sich der Name wie das Licht der Sonne und demonstriert die Affinität des Künstlers zur universellen Licht- und Energiequelle.,M,Y,,
It was maintained that he appropriated the thoughts of his teacher Hasdai Crescas without giving him due credit. <sep> ,"Crescas having been Albo's teacher, the similarities are only such as might be reasonably expected in the writings of both teacher and student.",M,"Da Crescas Albos Lehrer war sind die Ähnlichkeiten nur so groß, wie man sie in den Schriften von Lehrer und Schüler erwarten kann.","Da Crescas Albos Lehrer war, sind die Ähnlichkeiten nur solche, die vernünftigerweise in den Schriften sowohl des Lehrers als auch des Schülers erwartet werden können.",M,Y,,
"Outside of Social Security, he was involved in implementation of a federal and state civil service merit system and for a policy making federal grants proportional to per capita state income. <sep> ","During World War Two, Altmeyer was the secretary of the War Manpower Commission.",M,Während des Zweiten Weltkriegs war Altmeyer Sekretär der War Manpower Commission.,Während des Zweiten Weltkriegs war Altmeyer Sekretär der War Manpower Commission.,M,Y,,
The yoga scholar-practitioner Norman Sjoman notes in his analysis of modern yoga that the asanas of B. K. S. Iyengar's Light on Yoga were already published in The Complete Illustrated Book of Yoga with different names. <sep> ,"Sjoman comments that Vishnudevananda was a student of Sivananda, a Dravidian belonging to the Diksitar family, the traditional custodians of the Cidambaram temple, and suggests that the book must have been describing those inherited traditions.",M,"Sjoman kommentiert, dass Vishnudevananda ein Schüler Sivanandas war, eines Draviden aus der Diksitar-Familie, der traditionellen Hüter des Cidambaram-Tempels. Er behauptet, das Buch habe diese übernommenen Traditionen beschrieben.","Sjoman kommentiert, dass Vishnudevananda ein Schüler von Sivananda war, einem Dravidier, der zur Familie Diksitar gehört, den traditionellen Hütern des Cidambaram-Tempels, und schlägt vor, dass das Buch diese ererbten Traditionen beschrieben haben muss.",M,Y,,
His work was originally designed for the gate of Saint Peter's Basilica in Rome. <sep> ,"The first design was ready in 1970 but, due to a series of historical events it was only inaugurated in 1983 in the presence of the artist, who was by then seriously ill.",M,"Der erste Bauplan wurde bereits 1970 angefertigt, doch aufgrund einer Reihe historischer Ereignisse wurde er erst 1983 in Anwesenheit des Künstlers enthüllt, der Künstler war zu diesem Zeitpunkt bereits schwer krank.","Der erste Entwurf war 1970 fertig, wurde aber aufgrund einer Reihe historischer Ereignisse erst 1983 im Beisein des inzwischen schwer erkrankten Künstlers eingeweiht.",M,Y,,
