CONTEXT,SENTENCE,GENDER of REFERENT,BENCHMARK TRANSLATION,DEEPL TRANSLATION,REF2,CORRESPONDENCE,DEEPL TRANSLATION W/CONTEXT,REF3,CORRESPONDENCE
"Settling in Utica, New York, her father became a traveling salesman. <sep> ",Mengers entered the talent agency business in 1955 as a receptionist at MCA.,F,"Mengers è entrata nel business delle agenzie di talenti nel 1955, quando divenne receptionist per la MCA.",Mengers entrò nel mondo delle agenzie di talenti nel 1955 come receptionist alla MCA.,N/D,A,"Stabilitosi a Utica, New York, il padre divenne un venditore ambulante. <sep> Mengers entrò nel mondo delle agenzie di talenti nel 1955 come receptionist alla MCA.",N/D,A
"After a series of miscarriages, she underwent surgery to remove a fibroid tumor. <sep> ","Although still weak from surgery, Glaspell worked with Cook and friends to start an experimental theatre company, a creative collective.",F,"Sebbene ancora debilitata dall'operazione, Glaspell lavorò con Cook e altri amici alla creazione di una compagnia di teatro sperimentale, un collettivo creativo.","Anche se ancora debole per l'intervento chirurgico, Glaspell ha lavorato con Cook e amici per avviare una compagnia teatrale sperimentale, un collettivo creativo.",N/D,A,"Dopo una serie di aborti spontanei, si sottopone a un intervento chirurgico per rimuovere un fibroma. <sep> Anche se ancora debole per l'intervento, Glaspell lavorò con Cook e amici per avviare una compagnia teatrale sperimentale, un collettivo creativo.",N/D,A
A selection of the most prominent exhibitions includes: NMWA hosts educational programs for all age groups to teach the public about the artistic accomplishments of women. <sep> ,Member days include curator- and artist-led tours.,F,Le giornate dedicate ai membri includono visite guidate dai curatori e dalle artiste.,Le giornate dei membri includono visite guidate da curatori e artisti.,N/D,A,Una selezione delle mostre più importanti comprende: La NMWA ospita programmi educativi per tutte le fasce d'età per far conoscere al pubblico i risultati artistici delle donne. <sep> Le giornate dedicate ai soci includono visite guidate da curatori e artisti.,N/D,A
"Vivian sent her baby daughter, accompanied by her nursemaid, Consuela Strohmeier, to Montreal aboard the Donaldson Atlantic Line's SS Athenia, which was sunk by a German submarine on September 3, 1939 with a loss of 118 passengers. <sep> ",The child and the nurse survived.,F,La bambina e l'infermiera sopravvissero.,Il bambino e l'infermiera sono sopravvissuti.,N/D,A,"Vivian inviò la figlia neonata, accompagnata dalla sua balia, Consuela Strohmeier, a Montreal a bordo della SS Athenia della Donaldson Atlantic Line, che fu affondata da un sottomarino tedesco il 3 settembre 1939 con la perdita di 118 passeggeri. <sep> Il bambino e l'infermiera sopravvissero.",N/D,A
Here she met many artists and musicians and became interested in dance. <sep> ,"Post trained as a teacher, and went to work in a small town in Massachusetts.",F,Si è poi formata come insegnante ed è andata a lavorare in una cittadina del Massachusetts.,Post si formò come insegnante e andò a lavorare in una piccola città del Massachusetts.,N/D,A,Qui conobbe molti artisti e musicisti e si interessò alla danza. <Post si formò come insegnante e andò a lavorare in una piccola città del Massachusetts.,N/D,A
She often uses herself and her family as models. <sep> ,The Canopy Series (1987) draws on experiences from the artist's own family.,F,The Canopy Series (1987) si ispira alla famiglia dell'artista stessa.,La serie Canopy (1987) si basa su esperienze vissute dalla famiglia dell'artista.,N/D,A,Spesso utilizza se stessa e la sua famiglia come modelli. <sep> La serie Canopy (1987) si basa sulle esperienze della famiglia dell'artista.,N/D,A
Coordinates: 55.035°N 7.284°W Thornhill College is a Roman Catholic grammar school for girls. <sep> ,It has a student population of approximately 1500 and a staff of 100 teachers.,F,Conta all'incirca 1500 studentesse e 100 insegnanti.,Ha una popolazione studentesca di circa 1500 persone e uno staff di 100 insegnanti.,N/D,A,Coordinate: 55.035°N 7.284°W Il Thornhill College è un liceo cattolico romano per ragazze. <Ha una popolazione studentesca di circa 1500 persone e uno staff di 100 insegnanti.,N/D,A
"Dozens of boys decide to join the swimming team, but when they realize that she teaches synchronized swimming (which is generally a women's sport), all but Suzuki and four other boys drop out. <sep> ","The teacher soon takes maternity leave, and for some time the team is on hiatus.",F,"La professoressa va in maternità di lì a poco, e per un po' di tempo il team rimane inattivo.",L'insegnante prende presto un congedo di maternità e per qualche tempo la squadra è in pausa.,N/D,A,"Decine di ragazzi decidono di unirsi alla squadra di nuoto, ma quando si accorgono che l'insegnante insegna nuoto sincronizzato (che in genere è uno sport femminile), tutti tranne Suzuki e altri quattro ragazzi abbandonano la squadra. <L'insegnante prende presto un congedo di maternità e per qualche tempo la squadra è in pausa.",N/D,A
"Returning to the area of her upbringing, in April 2014, Solis formally announced a campaign for a seat on the non-partisan Los Angeles County Board of Supervisors. <sep> ","As Supervisor, Solis successfully lobbied the state to allocate funds for the Exide battery plant cleanup.",F,"In quanto membro della Commissione di Vigilanza, Solis è riuscita a convincere lo stato a stanziare fondi per la bonifica dell'impianto di batterie Exide.","In qualità di supervisore, Solis ha esercitato pressioni sullo Stato affinché venissero stanziati fondi per la bonifica dell'impianto di batterie Exide.",N/D,A,"Tornando alla zona in cui è cresciuta, nell'aprile 2014 Solis ha annunciato formalmente una campagna per un seggio nel Consiglio dei Supervisori della Contea di Los Angeles, apartitico. <Come supervisore, Solis ha esercitato con successo pressioni sullo Stato affinché stanziasse fondi per la bonifica dell'impianto di batterie Exide.",N/D,A
She is an accredited teacher for the American Film Institute and S.A.G. <sep>,"Conservatory, dance teacher and fitness consultant.",F,"Conservatorio, maestra di danza e consulente fitness.","Conservatorio, insegnante di danza e consulente di fitness.",N/D,A,"È insegnante accreditata per l'American Film Institute e il S.A.G. <sep> Conservatory, insegnante di danza e consulente di fitness.",N/D,A
"With the emperor's approval, Prime Minister Hideki Tōjō and Navy Minister Shigetarō Shimada removed Nagano from his post and replaced him. <sep> ",Nagano spent the remainder of the war as an advisor to the government.,M,Nagano servì come consigliere governativo fino alla fine della guerra.,Nagano ha trascorso il resto della guerra come consulente del governo.,N/D,A,"Con l'approvazione dell'imperatore, il Primo Ministro Hideki Tōjō e il Ministro della Marina Shigetarō Shimada rimossero Nagano dal suo incarico e lo sostituirono. <Nagano trascorse il resto della guerra come consigliere del governo.",N/D,A
"Throughout the film, the truck driver remains anonymous and unseen, with the exception of three separate shots, where the stunt driver can very briefly be seen in the truck's cab, where his arm waves Weaver on into oncoming traffic, and where Weaver observes the driver's snakeskin boots. <sep> ","Spielberg says that the effect of not seeing the driver makes the real villain of the film the truck itself, rather than the driver.",M,"Spielberg spiega come il non vedere chi guida faccia diventare lo stesso camion l'antagonista del film, anziché lo guidatore.","Spielberg afferma che l'effetto di non vedere l'autista rende il vero cattivo del film il camion stesso, piuttosto che l'autista.",N/D,A,"Per tutto il film, l'autista del camion rimane anonimo e invisibile, con l'eccezione di tre inquadrature separate, in cui lo stunt driver può essere visto molto brevemente nella cabina del camion, in cui il suo braccio fa cenno a Weaver di proseguire nel traffico in arrivo e in cui Weaver osserva gli stivali di pelle di serpente dell'autista. <Spielberg afferma che l'effetto di non vedere l'autista rende il vero cattivo del film il camion stesso, piuttosto che l'autista.",N/D,A
