CONTEXT,SENTENCE,GENDER of REFERENT,BENCHMARK TRANSLATION,GOOGLE TRANSLATION,REF2,CORRESPONDENCE,GOOGLE TRANSLATION W/CONTEXT,REF3,CORRESPONDENCE,,LINK ORIGINALI
"After a series of miscarriages, she underwent surgery to remove a fibroid tumor. <sep> ","Although still weak from surgery, Glaspell worked with Cook and friends to start an experimental theatre company, a creative collective.",F,"Sebbene ancora debilitata dall'operazione, Glaspell lavorò con Cook e altri amici alla creazione di una compagnia di teatro sperimentale, un collettivo creativo.","Sebbene ancora debole per l'intervento chirurgico, Glaspell ha lavorato con Cook e amici per avviare una compagnia teatrale sperimentale, un collettivo creativo.",N/D,A,"Dopo una serie di aborti spontanei, ha subito un intervento chirurgico per rimuovere un fibroma. <sep> Anche se ancora debole per l'operazione, Glaspell ha lavorato con Cook e amici per fondare una compagnia teatrale sperimentale, un collettivo creativo.",N/D,A,,
She often uses herself and her family as models. <sep> ,The Canopy Series (1987) draws on experiences from the artist's own family.,F,The Canopy Series (1987) si ispira alla famiglia dell'artista stessa.,The Canopy Series (1987) attinge alle esperienze della famiglia dell'artista.,N/D,A,Usa spesso se stessa e la sua famiglia come modelli. <sep> The Canopy Series (1987) attinge alle esperienze della famiglia dell'artista.,N/D,A,,
Coordinates: 55.035°N 7.284°W Thornhill College is a Roman Catholic grammar school for girls. <sep> ,It has a student population of approximately 1500 and a staff of 100 teachers.,F,Conta all'incirca 1500 studentesse e 100 insegnanti.,Ha una popolazione studentesca di circa 1500 e uno staff di 100 insegnanti.,N/D,A,Coordinate: 55.035°N 7.284°W Il Thornhill College è un liceo cattolico romano per ragazze. <sep> Ha una popolazione studentesca di circa 1500 e uno staff di 100 insegnanti.,N/D,A,,
She is an accredited teacher for the American Film Institute and S.A.G. <sep>,"Conservatory, dance teacher and fitness consultant.",F,"Conservatorio, maestra di danza e consulente fitness.","Conservatorio, insegnante di danza e consulente fitness.",N/D,A,"È un'insegnante accreditata per l'American Film Institute e S.A.G. <sep> Conservatorio, insegnante di danza e consulente di fitness.",N/D,A,,
"Grote went on to accept a faculty position as an associate professor of chemistry at his alma mater in 1931, and eventually moved on to professor of chemistry in 1941. <sep> ","From 1941 to 1972 Grote also served as scientific advisor for the Chattanooga Medicine Company, later to be called Chattem Co.",M,"Dal 1941 al 1972 Grote ha lavorato come consulente scientifico per la Chattanooga Medicine Company, in seguito chiamata Chattem Co.","Dal 1941 al 1972 Grote servì anche come consulente scientifico per la Chattanooga Medicine Company, in seguito chiamata Chattem Co.",N/D,A,"Grote ha continuato ad accettare una posizione di professore associato di chimica presso la sua alma mater nel 1931, e alla fine è passato a professore di chimica nel 1941. <sep> Dal 1941 al 1972 Grote è stato anche consulente scientifico per la Chattanooga Medicine Company , poi chiamata Chattem Co.",M,Y,,
"To apease him, Asquith invited Isaacs to join the Cabinet; he was the first attorney general to sit in the Cabinet. <sep> ","As law officer, Isaacs handled many high-profile cases.",M,"In quanto funzionario della legge, Isaacs ha trattato molti casi di alto profilo.","In qualità di agente legale, Isaacs ha gestito molti casi di alto profilo.",N/D,A,"Per placarlo, Asquith invitò Isaacs a unirsi al gabinetto; è stato il primo procuratore generale a sedere nel gabinetto. <sep> In qualità di legale, Isaacs ha gestito molti casi di alto profilo.",N/D,A,,
The driver saw Duggan move onto the road in front of him. <sep> ,"The car swerved from the inside lane to the outside, but the driver said Duggan leapt in front of the car, arms raised and mouth open.",M,"L'auto aveva sterzato dalla corsia interna a quella esterna, ma il guidatore disse che Duggan era saltato davanti all'auto con le mani alzate e la bocca aperta.","L'auto ha sterzato dalla corsia interna verso l'esterno, ma l'autista ha detto che Duggan è balzato davanti all'auto, con le braccia alzate e la bocca aperta.",N/D,A,"L'autista ha visto Duggan muoversi sulla strada davanti a lui. <sep> L'auto ha deviato dalla corsia interna verso l'esterno, ma l'autista ha detto che Duggan è balzato davanti all'auto, con le braccia alzate e la bocca aperta.",N/D,A,,
"Johannesen also set a total of four world records over the course of his career, the most famous of which was his 15:46.6 on the 10,000 m at the 1960 Olympics. <sep> ","Beside skating, Johannesen worked as a carpenter and later ran a gas station.",M,"A parte fare skate, Johannesen ha lavorato come carpentiere e successivamente ha gestito una stazione di servizio.","Oltre a pattinare, Johannesen ha lavorato come falegname e in seguito ha gestito una stazione di servizio.",N/D,A,"Johannesen ha anche stabilito un totale di quattro record mondiali nel corso della sua carriera, il più famoso dei quali è stato il suo 15:46.6 sui 10.000 m alle Olimpiadi del 1960. <sep> Oltre a pattinare, Johannesen ha lavorato come falegname e in seguito ha gestito una stazione di servizio.",N/D,A,,
"Throughout the film, the truck driver remains anonymous and unseen, with the exception of three separate shots, where the stunt driver can very briefly be seen in the truck's cab, where his arm waves Weaver on into oncoming traffic, and where Weaver observes the driver's snakeskin boots. <sep> ","Spielberg says that the effect of not seeing the driver makes the real villain of the film the truck itself, rather than the driver.",M,"Spielberg spiega come il non vedere chi guida faccia diventare lo stesso camion l'antagonista del film, anziché il guidatore.","Spielberg afferma che l'effetto di non vedere l'autista rende il vero cattivo del film il camion stesso, piuttosto che l'autista.",N/D,A,"Per tutto il film, l'autista del camion rimane anonimo e invisibile, con l'eccezione di tre inquadrature separate, in cui lo stunt driver può essere visto molto brevemente nella cabina del camion, dove il suo braccio fa cenno a Weaver di entrare nel traffico in arrivo, e dove Weaver osserva il guidatore stivali di pelle di serpente. <sep> Spielberg afferma che l'effetto di non vedere l'autista rende il vero cattivo del film il camion stesso, piuttosto che l'autista.",N/D,A,,
"The initial operation, John's successful post-surgery career, and the relationship between the two men is the subject of a 2013 ESPN 30 for 30 documentary. <sep> ",The risk of injury to the throwing athlete's UCL is thought to be extremely high as the amount of stress through this structure approaches its ultimate tensile strength during a hard throw.,M,"Il rischio di lesioni al legamento collaterale ulnare per un lanciatore è considerato molto alto, dato che lo stress inflitto alla zona si avvicina al punto di rottura soprattutto nel caso di lanci particolarmente forti.",Si ritiene che il rischio di lesioni all'UCL dell'atleta che lancia sia estremamente elevato poiché la quantità di stress attraverso questa struttura si avvicina alla sua massima resistenza alla trazione durante un lancio duro.,N/D,A,"L'operazione iniziale, la carriera postoperatoria di successo di John e il rapporto tra i due uomini sono oggetto di un documentario ESPN 30 per 30 del 2013. <sep> Si ritiene che il rischio di lesioni all'UCL dell'atleta che lancia sia estremamente elevato poiché la quantità di stress attraverso questa struttura si avvicina alla sua massima resistenza alla trazione durante un lancio duro.",N/D,A,,
